"","V1","V2","V3","V4"
"250",251.901265872597,251.901575877597,251.901885882597,251.902195887597
"251",251.901281546006,251.901594046006,251.901906546006,251.902219046006
"252",251.901297252886,251.901612257886,251.901927262886,251.902242267886
"253",251.901312993053,251.901630513053,251.901948033053,251.902265553053
"254",251.901328766325,251.901648811325,251.901968856325,251.902288901325
"255",251.901344572519,251.901667152519,251.901989732519,251.902312312519
"256",251.901360411453,251.901685536453,251.902010661453,251.902335786453
"257",251.901376282947,251.901703962947,251.902031642947,251.902359322947
"258",251.901392186819,251.901722431819,251.902052676819,251.902382921819
"259",251.901408122889,251.901740942889,251.902073762889,251.902406582889
"260",251.901424090976,251.901759495976,251.902094900976,251.902430305976
"261",251.901440090902,251.901778090902,251.902116090902,251.902454090902
"262",251.901456122488,251.901796727488,251.902137332488,251.902477937488
"263",251.901472185555,251.901815405555,251.902158625555,251.902501845555
"264",251.901488279925,251.901834124925,251.902179969925,251.902525814925
"265",251.90150440542,251.90185288542,251.90220136542,251.90254984542
"266",251.901520561864,251.901871686864,251.902222811864,251.902573936864
"267",251.90153674908,251.90189052908,251.90224430908,251.90259808908
"268",251.901552966891,251.901909411891,251.902265856891,251.902622301891
"269",251.901569215122,251.901928335122,251.902287455122,251.902646575122
"270",251.901585493597,251.901947298597,251.902309103597,251.902670908597
"271",251.901601802143,251.901966302143,251.902330802143,251.902695302143
"272",251.901618140584,251.901985345584,251.902352550584,251.902719755584
"273",251.901634508747,251.902004428747,251.902374348747,251.902744268747
"274",251.901650906458,251.902023551458,251.902396196458,251.902768841458
"275",251.901667333545,251.902042713545,251.902418093545,251.902793473545
"276",251.901683789834,251.902061914834,251.902440039834,251.902818164834
"277",251.901700275155,251.902081155155,251.902462035155,251.902842915155
"278",251.901716789334,251.902100434334,251.902484079334,251.902867724334
"279",251.901733332202,251.902119752202,251.902506172202,251.902892592202
"280",251.901749903586,251.902139108586,251.902528313586,251.902917518586
"281",251.901766503318,251.902158503318,251.902550503318,251.902942503318
"282",251.901783131228,251.902177936228,251.902572741228,251.902967546228
"283",251.901799787145,251.902197407145,251.902595027145,251.902992647145
"284",251.901816470901,251.902216915901,251.902617360901,251.903017805901
"285",251.901833182328,251.902236462328,251.902639742328,251.903043022328
"286",251.901849921257,251.902256046257,251.902662171257,251.903068296257
"287",251.901866687521,251.902275667521,251.902684647521,251.903093627521
"288",251.901883480952,251.902295325952,251.902707170952,251.903119015952
"289",251.901900301384,251.902315021384,251.902729741384,251.903144461384
"290",251.901917148651,251.902334753651,251.902752358651,251.903169963651
"291",251.901934022587,251.902354522587,251.902775022587,251.903195522587
"292",251.901950923026,251.902374328026,251.902797733026,251.903221138026
"293",251.901967849803,251.902394169803,251.902820489803,251.903246809803
"294",251.901984802753,251.902414047753,251.902843292753,251.903272537753
"295",251.902001781713,251.902433961713,251.902866141713,251.903298321713
"296",251.902018786519,251.902453911519,251.902889036519,251.903324161519
"297",251.902035817007,251.902473897007,251.902911977007,251.903350057007
"298",251.902052873014,251.902493918014,251.902934963014,251.903376008014
"299",251.902069954379,251.902513974379,251.902957994379,251.903402014379
"300",251.902087060938,251.902534065938,251.902981070938,251.903428075938
"301",251.902104192531,251.902554192531,251.903004192531,251.903454192531
"302",251.902121348995,251.902574353995,251.903027358995,251.903480363995
"303",251.902138530171,251.902594550171,251.903050570171,251.903506590171
"304",251.902155735898,251.902614780898,251.903073825898,251.903532870898
"305",251.902172966015,251.902635046015,251.903097126015,251.903559206015
"306",251.902190220364,251.902655345364,251.903120470364,251.903585595364
"307",251.902207498785,251.902675678785,251.903143858785,251.903612038785
"308",251.902224801119,251.902696046119,251.903167291119,251.903638536119
"309",251.902242127208,251.902716447208,251.903190767208,251.903665087208
"310",251.902259476895,251.902736881895,251.903214286895,251.903691691895
"311",251.90227685002,251.90275735002,251.90323785002,251.90371835002
"312",251.902294246429,251.902777851429,251.903261456429,251.903745061429
"313",251.902311665962,251.902798385962,251.903285105962,251.903771825962
"314",251.902329108466,251.902818953466,251.903308798466,251.903798643466
"315",251.902346573782,251.902839553782,251.903332533782,251.903825513782
"316",251.902364061757,251.902860186757,251.903356311757,251.903852436757
"317",251.902381572234,251.902880852234,251.903380132234,251.903879412234
"318",251.90239910506,251.90290155006,251.90340399506,251.90390644006
"319",251.902416660079,251.902922280079,251.903427900079,251.903933520079
"320",251.902434237137,251.902943042137,251.903451847137,251.903960652137
"321",251.902451836082,251.902963836082,251.903475836082,251.903987836082
"322",251.90246945676,251.90298466176,251.90349986676,251.90401507176
"323",251.902487099019,251.903005519019,251.903523939019,251.904042359019
"324",251.902504762705,251.903026407705,251.903548052705,251.904069697705
"325",251.902522447667,251.903047327667,251.903572207667,251.904097087667
"326",251.902540153754,251.903068278754,251.903596403754,251.904124528754
"327",251.902557880813,251.903089260813,251.903620640814,251.904152020813
"328",251.902575628695,251.903110273695,251.903644918695,251.904179563695
